run,roc_auc,mean_auc,std_auc
0,0.6971826527382083,0.7342728936917419,0.04172137712355807
1,0.7640181040985667,0.7342728936917419,0.04172137712355807
2,0.7796378968253969,0.7342728936917419,0.04172137712355807
3,0.756202741020794,0.7342728936917419,0.04172137712355807
4,0.6624875621890548,0.7342728936917419,0.04172137712355807
5,0.7150153217568948,0.7342728936917419,0.04172137712355807
6,0.7828438499563828,0.7342728936917419,0.04172137712355807
7,0.7234724666834297,0.7342728936917419,0.04172137712355807
8,0.6830525521750063,0.7342728936917419,0.04172137712355807
9,0.7788157894736841,0.7342728936917419,0.04172137712355807
