run,roc_auc,mean_auc,std_auc
0,0.8276669832225387,0.8323460176520149,0.031978997083968
1,0.8171988936384209,0.8323460176520149,0.031978997083968
2,0.8419518849206348,0.8323460176520149,0.031978997083968
3,0.8407372400756143,0.8323460176520149,0.031978997083968
4,0.7704145936981759,0.8323460176520149,0.031978997083968
5,0.877005347593583,0.8323460176520149,0.031978997083968
6,0.8796743239313753,0.8323460176520149,0.031978997083968
7,0.8536585365853658,0.8323460176520149,0.031978997083968
8,0.8131128991702288,0.8323460176520149,0.031978997083968
9,0.8020394736842105,0.8323460176520149,0.031978997083968
