run,roc_auc,mean_auc,std_auc
0,0.6161347517730497,0.6574203396362269,0.04111380422650201
1,0.6695075757575758,0.6574203396362269,0.04111380422650201
2,0.7187990580847723,0.6574203396362269,0.04111380422650201
3,0.5822554436139097,0.6574203396362269,0.04111380422650201
4,0.6175394144144145,0.6574203396362269,0.04111380422650201
5,0.6644678073249501,0.6574203396362269,0.04111380422650201
6,0.6716044505892422,0.6574203396362269,0.04111380422650201
7,0.6622313843078461,0.6574203396362269,0.04111380422650201
8,0.6529925101353673,0.6574203396362269,0.04111380422650201
9,0.7186710003611413,0.6574203396362269,0.04111380422650201
