x_center,y_center,box_length,score
240.0,641.0,69.0,0.7395650744438171
494.0,331.0,279.0,0.7260291576385498
761.0,290.0,104.0,0.6913540959358215
678.0,310.0,65.0,0.6216480731964111
331.0,718.0,168.0,0.615735650062561
738.0,582.0,80.0,0.6092126965522766
941.0,391.0,32.0,0.6051421761512756
825.0,147.0,40.0,0.5965732336044312
848.0,751.0,45.0,0.5830507278442383
928.0,918.0,43.0,0.5688400268554688
621.0,601.0,31.0,0.5673097968101501
202.0,444.0,77.0,0.5605648756027222
670.0,240.0,45.0,0.5457884669303894
878.0,228.0,82.0,0.5429913401603699
359.0,489.0,24.0,0.5391820669174194
346.0,875.0,21.0,0.5341569781303406
162.0,691.0,85.0,0.5329915285110474
439.0,765.0,43.0,0.5310130715370178
627.0,505.0,69.0,0.5182997584342957
493.0,616.0,45.0,0.5158215165138245
761.0,842.0,76.0,0.5103921890258789
433.0,647.0,61.0,0.5092558860778809
889.0,967.0,23.0,0.5080671310424805
318.0,608.0,45.0,0.5047221183776855
111.0,284.0,48.0,0.5038589239120483
482.0,725.0,35.0,0.5026482939720154
476.0,702.0,40.0,0.5024476051330566
