x_center,y_center,box_length,score
807.0,440.0,61.0,0.6346304416656494
32.0,851.0,43.0,0.6124339699745178
962.0,924.0,45.0,0.583263635635376
492.0,426.0,64.0,0.5815632939338684
841.0,862.0,29.0,0.5643444657325745
602.0,73.0,67.0,0.5505725741386414
279.0,965.0,24.0,0.5492844581604004
241.0,668.0,82.0,0.5486442446708679
453.0,978.0,34.0,0.5465186834335327
833.0,610.0,24.0,0.5460357666015625
385.0,454.0,34.0,0.545536458492279
74.0,843.0,17.0,0.5310331583023071
313.0,380.0,58.0,0.5294071435928345
420.0,281.0,23.0,0.528607964515686
666.0,594.0,43.0,0.5111290812492371
376.0,767.0,21.0,0.5054470896720886
568.0,346.0,31.0,0.5044955015182495
465.0,162.0,37.0,0.5022275447845459
