x_center,y_center,box_length,score
881.0,471.0,43.0,0.7969567775726318
164.0,876.0,43.0,0.7651469111442566
582.0,420.0,26.0,0.7599033713340759
129.0,802.0,40.0,0.7232614159584045
703.0,146.0,53.0,0.7231907248497009
520.0,659.0,40.0,0.7132260799407959
403.0,732.0,64.0,0.7004736065864563
539.0,899.0,43.0,0.6863224506378174
251.0,927.0,54.0,0.672223687171936
308.0,175.0,43.0,0.6670008301734924
618.0,170.0,40.0,0.6647933125495911
479.0,242.0,37.0,0.6541762948036194
793.0,853.0,53.0,0.6529145836830139
951.0,246.0,40.0,0.6456634998321533
989.0,298.0,40.0,0.6415481567382812
579.0,311.0,56.0,0.6381658315658569
477.0,114.0,35.0,0.6381624937057495
270.0,64.0,56.0,0.6366998553276062
356.0,102.0,72.0,0.6305072903633118
272.0,140.0,48.0,0.6297812461853027
315.0,917.0,71.0,0.6292876601219177
571.0,69.0,37.0,0.6261741518974304
440.0,563.0,40.0,0.6144823431968689
709.0,209.0,21.0,0.6131482720375061
723.0,972.0,44.0,0.6119359135627747
499.0,982.0,61.0,0.6109210252761841
783.0,107.0,35.0,0.6099364161491394
747.0,480.0,26.0,0.6054251790046692
792.0,986.0,50.0,0.601625919342041
435.0,78.0,53.0,0.5970278978347778
944.0,582.0,65.0,0.5966296195983887
698.0,929.0,26.0,0.5939548015594482
582.0,693.0,82.0,0.5932095050811768
922.0,124.0,19.0,0.5897074341773987
778.0,158.0,31.0,0.5893542170524597
177.0,539.0,24.0,0.5879030227661133
656.0,61.0,34.0,0.5852075219154358
507.0,436.0,60.0,0.582509458065033
228.0,898.0,37.0,0.5775455236434937
114.0,149.0,117.0,0.577322781085968
302.0,840.0,46.0,0.5757628679275513
99.0,245.0,40.0,0.5752983689308167
595.0,613.0,61.0,0.5731520652770996
517.0,364.0,87.0,0.5718752145767212
593.0,463.0,53.0,0.5708934664726257
747.0,950.0,37.0,0.569734513759613
484.0,825.0,60.0,0.5614200234413147
632.0,930.0,25.0,0.5582899451255798
718.0,262.0,32.0,0.5575065612792969
230.0,223.0,63.0,0.5555796027183533
1000.0,38.0,29.0,0.5520294904708862
951.0,952.0,143.0,0.5508624315261841
667.0,515.0,85.0,0.5452425479888916
657.0,671.0,29.0,0.543450653553009
841.0,244.0,27.0,0.5385645031929016
677.0,931.0,26.0,0.5380098819732666
489.0,37.0,46.0,0.537732720375061
806.0,694.0,84.0,0.535980761051178
923.0,208.0,26.0,0.5353336930274963
856.0,402.0,21.0,0.5317811369895935
310.0,743.0,37.0,0.531562089920044
660.0,377.0,67.0,0.5310875177383423
958.0,204.0,21.0,0.5305014252662659
176.0,715.0,40.0,0.5284292101860046
173.0,619.0,54.0,0.5246880054473877
706.0,68.0,26.0,0.5238745808601379
776.0,189.0,27.0,0.5238131880760193
201.0,935.0,72.0,0.5211095809936523
617.0,863.0,59.0,0.5206698179244995
832.0,803.0,38.0,0.5190445780754089
201.0,766.0,21.0,0.5183347463607788
773.0,342.0,36.0,0.517576277256012
736.0,200.0,45.0,0.5171881318092346
537.0,602.0,56.0,0.516438364982605
635.0,269.0,21.0,0.5163202881813049
592.0,930.0,26.0,0.5163010954856873
369.0,538.0,37.0,0.5144996047019958
108.0,985.0,40.0,0.5113254189491272
480.0,688.0,24.0,0.5109317898750305
203.0,549.0,37.0,0.5103419423103333
81.0,58.0,31.0,0.5078374147415161
912.0,306.0,53.0,0.5067880749702454
381.0,907.0,29.0,0.5061932802200317
764.0,44.0,26.0,0.5053491592407227
214.0,386.0,24.0,0.5050585269927979
163.0,801.0,25.0,0.5025212168693542
174.0,222.0,26.0,0.5003766417503357
976.0,331.0,57.0,0.5001621842384338
873.0,241.0,21.0,0.5001416802406311
