x_center,y_center,box_length,score
114.0,836.0,87.0,0.9044957756996155
614.0,953.0,90.0,0.8850136995315552
616.0,94.0,167.0,0.7578973174095154
953.0,176.0,43.0,0.7540091872215271
995.0,41.0,53.0,0.7377439141273499
302.0,120.0,43.0,0.710947573184967
947.0,952.0,24.0,0.7103845477104187
484.0,55.0,21.0,0.6929700970649719
879.0,887.0,45.0,0.6865298748016357
29.0,659.0,24.0,0.6863483190536499
915.0,905.0,61.0,0.6818337440490723
228.0,502.0,56.0,0.6793104410171509
984.0,948.0,29.0,0.6767215132713318
453.0,948.0,54.0,0.6697362065315247
60.0,322.0,35.0,0.6626476645469666
260.0,841.0,84.0,0.654228925704956
738.0,252.0,26.0,0.6482592225074768
732.0,489.0,25.0,0.6329439282417297
151.0,470.0,50.0,0.6203833818435669
565.0,845.0,53.0,0.6149177551269531
533.0,558.0,37.0,0.609093964099884
79.0,360.0,32.0,0.6067540645599365
22.0,821.0,45.0,0.6006086468696594
492.0,391.0,38.0,0.5900810956954956
68.0,126.0,32.0,0.5860894918441772
906.0,459.0,26.0,0.5826929211616516
513.0,992.0,43.0,0.5820583701133728
541.0,256.0,21.0,0.5762665867805481
525.0,327.0,40.0,0.5754269957542419
78.0,536.0,17.0,0.5738579034805298
258.0,214.0,24.0,0.5671281814575195
955.0,1011.0,17.0,0.5670552253723145
996.0,177.0,56.0,0.5651335716247559
787.0,963.0,106.0,0.5633288621902466
794.0,539.0,26.0,0.5627220273017883
134.0,84.0,58.0,0.5598782896995544
322.0,818.0,29.0,0.5575301051139832
881.0,925.0,21.0,0.5544161200523376
339.0,649.0,17.0,0.5494332909584045
585.0,307.0,37.0,0.5478932857513428
757.0,414.0,32.0,0.5470704436302185
328.0,484.0,167.0,0.5397055745124817
296.0,655.0,17.0,0.5357850193977356
606.0,315.0,19.0,0.534741222858429
15.0,49.0,17.0,0.5341999530792236
872.0,78.0,109.0,0.5244569778442383
1007.0,993.0,17.0,0.5239522457122803
123.0,676.0,144.0,0.5228464007377625
679.0,227.0,35.0,0.5217645764350891
101.0,385.0,43.0,0.5199939012527466
726.0,977.0,21.0,0.5184346437454224
858.0,507.0,21.0,0.5161473751068115
415.0,444.0,48.0,0.514960765838623
959.0,28.0,48.0,0.5116621255874634
807.0,498.0,29.0,0.5111215114593506
214.0,306.0,53.0,0.5013896822929382
473.0,643.0,21.0,0.5001607537269592
