x_center,y_center,box_length,score
868.0,438.0,40.0,0.8863294720649719
522.0,507.0,35.0,0.8836014866828918
86.0,121.0,40.0,0.8727174401283264
528.0,851.0,50.0,0.8111889958381653
496.0,963.0,82.0,0.773097574710846
172.0,435.0,21.0,0.7317688465118408
863.0,760.0,21.0,0.7110161781311035
930.0,268.0,85.0,0.7061362266540527
553.0,422.0,23.0,0.6985281109809875
405.0,49.0,17.0,0.6949090361595154
805.0,823.0,26.0,0.6903212070465088
627.0,636.0,111.0,0.6494098901748657
543.0,75.0,21.0,0.6459454298019409
254.0,730.0,170.0,0.6203951239585876
486.0,404.0,40.0,0.6167678833007812
794.0,962.0,21.0,0.6123910546302795
433.0,543.0,32.0,0.607423722743988
449.0,363.0,40.0,0.6001151204109192
966.0,599.0,109.0,0.5954979658126831
355.0,363.0,37.0,0.5887478590011597
494.0,587.0,42.0,0.5789204835891724
804.0,117.0,21.0,0.578025758266449
433.0,505.0,35.0,0.5757178068161011
231.0,166.0,80.0,0.5718199014663696
518.0,44.0,21.0,0.5657635927200317
482.0,27.0,24.0,0.551769495010376
991.0,281.0,43.0,0.5502946972846985
744.0,924.0,64.0,0.5393885970115662
532.0,55.0,21.0,0.5307473540306091
133.0,119.0,50.0,0.5300580859184265
130.0,708.0,82.0,0.5238534212112427
371.0,736.0,17.0,0.5098531246185303
16.0,574.0,26.0,0.5088299512863159
697.0,1002.0,32.0,0.506365954875946
16.0,473.0,32.0,0.5062119364738464
