x_center,y_center,box_length,score
230.0,383.0,50.0,0.858898937702179
720.0,723.0,40.0,0.8459498882293701
526.0,435.0,90.0,0.818382203578949
182.0,112.0,44.0,0.7473750114440918
240.0,333.0,43.0,0.7247427105903625
706.0,362.0,46.0,0.7125920653343201
439.0,1010.0,24.0,0.7047910690307617
886.0,165.0,80.0,0.6989105343818665
618.0,957.0,32.0,0.6885645985603333
956.0,609.0,69.0,0.6702520847320557
716.0,118.0,58.0,0.6689590215682983
431.0,667.0,23.0,0.6598233580589294
149.0,27.0,19.0,0.6379371285438538
328.0,164.0,26.0,0.6204280257225037
164.0,268.0,19.0,0.5856449604034424
823.0,481.0,23.0,0.5761141180992126
691.0,35.0,17.0,0.5660903453826904
252.0,603.0,21.0,0.5607233643531799
709.0,902.0,25.0,0.5348320603370667
495.0,355.0,40.0,0.5219196677207947
367.0,248.0,23.0,0.5214008092880249
706.0,647.0,73.0,0.5135641098022461
