x_center,y_center,box_length,score
376.0,252.0,43.0,0.8562273979187012
618.0,407.0,37.0,0.8547725677490234
266.0,162.0,37.0,0.8218250274658203
508.0,188.0,58.0,0.821027934551239
692.0,330.0,31.0,0.8154028058052063
727.0,865.0,56.0,0.8121260404586792
740.0,202.0,35.0,0.8025308847427368
853.0,819.0,26.0,0.7922632098197937
259.0,65.0,23.0,0.785888135433197
990.0,370.0,32.0,0.7755712866783142
766.0,226.0,24.0,0.774544894695282
820.0,142.0,24.0,0.7711440920829773
576.0,381.0,57.0,0.7682092785835266
351.0,111.0,21.0,0.7648636698722839
618.0,620.0,23.0,0.7622869610786438
170.0,948.0,45.0,0.7601855993270874
677.0,488.0,67.0,0.7572771310806274
654.0,349.0,45.0,0.7555502653121948
830.0,313.0,85.0,0.7503570914268494
815.0,667.0,64.0,0.7414842844009399
852.0,605.0,32.0,0.7380878329277039
687.0,613.0,80.0,0.7376008629798889
327.0,544.0,64.0,0.7367588877677917
501.0,818.0,31.0,0.7265022397041321
765.0,558.0,54.0,0.7254114747047424
948.0,672.0,100.0,0.7252949476242065
596.0,997.0,26.0,0.724579930305481
580.0,156.0,64.0,0.7232728600502014
134.0,373.0,72.0,0.7147212624549866
555.0,517.0,26.0,0.7098551392555237
744.0,751.0,94.0,0.7035813331604004
740.0,527.0,24.0,0.7018152475357056
735.0,803.0,24.0,0.6993111371994019
532.0,391.0,50.0,0.6957480311393738
716.0,124.0,24.0,0.6955575942993164
186.0,686.0,92.0,0.6914141774177551
136.0,461.0,21.0,0.688714861869812
820.0,195.0,65.0,0.6866386532783508
195.0,830.0,21.0,0.6836855411529541
865.0,496.0,67.0,0.6816201210021973
546.0,655.0,85.0,0.677506685256958
556.0,240.0,45.0,0.6775004267692566
782.0,996.0,24.0,0.677450954914093
686.0,547.0,40.0,0.6744401454925537
854.0,941.0,88.0,0.670864999294281
159.0,232.0,25.0,0.6692789793014526
413.0,289.0,24.0,0.6680117249488831
868.0,234.0,77.0,0.6667938232421875
765.0,142.0,86.0,0.662146270275116
498.0,923.0,61.0,0.6621341705322266
