x_center,y_center,box_length,score
205.0,942.0,98.0,0.6933547258377075
539.0,407.0,38.0,0.6869180798530579
591.0,337.0,42.0,0.6678667068481445
578.0,70.0,53.0,0.6592046022415161
639.0,287.0,45.0,0.652375340461731
271.0,389.0,32.0,0.6352049708366394
595.0,134.0,32.0,0.6292518973350525
852.0,741.0,45.0,0.6188410520553589
485.0,248.0,35.0,0.6088519096374512
160.0,567.0,32.0,0.5912472605705261
681.0,360.0,29.0,0.5849887728691101
154.0,911.0,21.0,0.5846537351608276
745.0,161.0,19.0,0.5777786374092102
386.0,343.0,58.0,0.5720954537391663
435.0,199.0,26.0,0.5716065764427185
218.0,20.0,29.0,0.5678260326385498
916.0,923.0,69.0,0.5548202395439148
922.0,715.0,17.0,0.5541302561759949
17.0,538.0,17.0,0.553617000579834
815.0,774.0,45.0,0.5512111186981201
431.0,346.0,21.0,0.5506872534751892
886.0,721.0,43.0,0.5497013926506042
80.0,313.0,19.0,0.548822820186615
916.0,468.0,42.0,0.5467466711997986
142.0,486.0,26.0,0.5390892028808594
178.0,295.0,17.0,0.5384041666984558
695.0,333.0,17.0,0.5379485487937927
811.0,932.0,48.0,0.531773030757904
408.0,123.0,19.0,0.5266339182853699
11.0,898.0,21.0,0.5263097286224365
43.0,517.0,37.0,0.5248963832855225
384.0,116.0,29.0,0.5219190120697021
314.0,471.0,82.0,0.5218571424484253
732.0,633.0,218.0,0.5151897668838501
511.0,59.0,17.0,0.5082910060882568
479.0,342.0,17.0,0.5074290633201599
145.0,48.0,54.0,0.5067947506904602
720.0,97.0,130.0,0.503667950630188
96.0,519.0,40.0,0.5033453106880188
724.0,451.0,19.0,0.501911997795105
743.0,807.0,38.0,0.5017449855804443
124.0,516.0,21.0,0.5010724067687988
440.0,394.0,21.0,0.5005852580070496
