filename,num_vesicles,area_vesicles,area_percent
WellL11_PointL11_0002_ChannelNile Red_Seq0766.ome.tiff,0,0.0,0.0
WellK17_PointK17_0001_ChannelNile Red_Seq0697.ome.tiff,0,0.0,0.0
WellH07_PointH07_0002_ChannelNile Red_Seq0462.ome.tiff,20,30607.751825761952,0.02918982679916568
WellG05_PointG05_0002_ChannelNile Red_Seq0330.ome.tiff,0,0.0,0.0
WellI12_PointI12_0001_ChannelNile Red_Seq0517.ome.tiff,0,0.0,0.0
WellL16_PointL16_0001_ChannelNile Red_Seq0745.ome.tiff,0,0.0,0.0
WellL20_PointL20_0002_ChannelNile Red_Seq0730.ome.tiff,0,0.0,0.0
WellD13_PointD13_0003_ChannelNile Red_Seq0119.ome.tiff,0,0.0,0.0
WellD21_PointD21_0000_ChannelNile Red_Seq0084.ome.tiff,0,0.0,0.0
WellK06_PointK06_0000_ChannelNile Red_Seq0652.ome.tiff,0,0.0,0.0
WellK10_PointK10_0001_ChannelNile Red_Seq0669.ome.tiff,0,0.0,0.0
WellE08_PointE08_0000_ChannelNile Red_Seq0180.ome.tiff,19,98439.44960574595,0.09387917481016726
WellD11_PointD11_0001_ChannelNile Red_Seq0125.ome.tiff,34,82896.41995211047,0.07905618663035438
WellK11_PointK11_0000_ChannelNile Red_Seq0672.ome.tiff,0,0.0,0.0
WellC13_PointC13_0002_ChannelNile Red_Seq0042.ome.tiff,0,0.0,0.0
WellI19_PointI19_0003_ChannelNile Red_Seq0547.ome.tiff,15,16518.49417257513,0.015753263638091212
WellJ22_PointJ22_0002_ChannelNile Red_Seq0562.ome.tiff,1,4417.864669110647,0.00421320406828942
WellE20_PointE20_0002_ChannelNile Red_Seq0230.ome.tiff,35,84094.93754945499,0.08019918208070277
WellJ10_PointJ10_0000_ChannelNile Red_Seq0608.ome.tiff,1,226.98006922186255,0.00021646506235300307
WellF06_PointF06_0003_ChannelNile Red_Seq0307.ome.tiff,22,93452.95666633558,0.08912368456491049
WellE04_PointE04_0002_ChannelNile Red_Seq0166.ome.tiff,76,70017.46086871912,0.06677385413047707
WellF11_PointF11_0000_ChannelNile Red_Seq0284.ome.tiff,24,31233.714161989723,0.02978679100226376
WellE07_PointE07_0002_ChannelNile Red_Seq0178.ome.tiff,69,97936.79478117161,0.09339980581395303
WellG09_PointG09_0000_ChannelNile Red_Seq0344.ome.tiff,0,0.0,0.0
WellI07_PointI07_0000_ChannelNile Red_Seq0496.ome.tiff,84,164344.56569091603,0.1567311913403664
WellI17_PointI17_0000_ChannelNile Red_Seq0536.ome.tiff,1,226.98006922186255,0.00021646506235300307
WellF03_PointF03_0002_ChannelNile Red_Seq0318.ome.tiff,12,10857.344210806326,0.01035437031822808
WellC18_PointC18_0003_ChannelNile Red_Seq0063.ome.tiff,3,919.701249338412,0.0008770954602607842
WellG18_PointG18_0001_ChannelNile Red_Seq0381.ome.tiff,0,0.0,0.0
WellG12_PointG12_0002_ChannelNile Red_Seq0358.ome.tiff,0,0.0,0.0
WellK22_PointK22_0001_ChannelNile Red_Seq0717.ome.tiff,0,0.0,0.0
WellL08_PointL08_0002_ChannelNile Red_Seq0778.ome.tiff,0,0.0,0.0
WellK11_PointK11_0003_ChannelNile Red_Seq0675.ome.tiff,0,0.0,0.0
WellF21_PointF21_0000_ChannelNile Red_Seq0244.ome.tiff,0,0.0,0.0
WellF07_PointF07_0003_ChannelNile Red_Seq0303.ome.tiff,28,49557.053314052195,0.04726128894238681
WellG05_PointG05_0000_ChannelNile Red_Seq0328.ome.tiff,0,0.0,0.0
WellG08_PointG08_0000_ChannelNile Red_Seq0340.ome.tiff,0,0.0,0.0
WellL12_PointL12_0000_ChannelNile Red_Seq0760.ome.tiff,0,0.0,0.0
WellE21_PointE21_0001_ChannelNile Red_Seq0233.ome.tiff,3,5464.015022756048,0.005210890791660355
WellI06_PointI06_0000_ChannelNile Red_Seq0492.ome.tiff,84,256366.5269035415,0.24449017229417944
WellE03_PointE03_0003_ChannelNile Red_Seq0163.ome.tiff,14,22924.201593244714,0.02186222228359672
WellC19_PointC19_0003_ChannelNile Red_Seq0067.ome.tiff,0,0.0,0.0
WellI16_PointI16_0000_ChannelNile Red_Seq0532.ome.tiff,0,0.0,0.0
WellL20_PointL20_0000_ChannelNile Red_Seq0728.ome.tiff,0,0.0,0.0
WellD22_PointD22_0002_ChannelNile Red_Seq0082.ome.tiff,14,24324.56651858237,0.0231977143464874
WellG22_PointG22_0002_ChannelNile Red_Seq0398.ome.tiff,12,10587.952640761001,0.010097458496819497
WellG19_PointG19_0001_ChannelNile Red_Seq0385.ome.tiff,0,0.0,0.0
WellD12_PointD12_0003_ChannelNile Red_Seq0123.ome.tiff,29,46164.13324817522,0.04402554821794054
WellK10_PointK10_0003_ChannelNile Red_Seq0671.ome.tiff,0,0.0,0.0
WellI16_PointI16_0003_ChannelNile Red_Seq0535.ome.tiff,2,918.9158511750145,0.0008763464462041993
WellI18_PointI18_0003_ChannelNile Red_Seq0543.ome.tiff,11,44175.50509845287,0.042129044626667854
WellH20_PointH20_0002_ChannelNile Red_Seq0410.ome.tiff,11,30665.871289853367,0.029245253839352957
WellC05_PointC05_0002_ChannelNile Red_Seq0010.ome.tiff,9,13579.534245141882,0.012950453038350946
WellI06_PointI06_0003_ChannelNile Red_Seq0495.ome.tiff,280,258132.1019748589,0.24617395589338198
WellH11_PointH11_0002_ChannelNile Red_Seq0446.ome.tiff,0,0.0,0.0
WellE21_PointE21_0002_ChannelNile Red_Seq0234.ome.tiff,6,18044.522804056378,0.017208597950035456
WellC14_PointC14_0003_ChannelNile Red_Seq0047.ome.tiff,0,0.0,0.0
WellC17_PointC17_0003_ChannelNile Red_Seq0059.ome.tiff,0,0.0,0.0
WellL06_PointL06_0000_ChannelNile Red_Seq0784.ome.tiff,0,0.0,0.0
WellF12_PointF12_0002_ChannelNile Red_Seq0282.ome.tiff,2,3399.9886493475533,0.003242481850955537
WellD17_PointD17_0002_ChannelNile Red_Seq0102.ome.tiff,0,0.0,0.0
WellK16_PointK16_0001_ChannelNile Red_Seq0693.ome.tiff,0,0.0,0.0
WellH06_PointH06_0002_ChannelNile Red_Seq0466.ome.tiff,105,238253.6744592695,0.22721641012122107
