x_center,y_center,box_length,score
249.0,139.0,27.0,0.7240807414054871
418.0,570.0,38.0,0.7224615216255188
954.0,325.0,71.0,0.6876010894775391
235.0,867.0,23.0,0.6604570746421814
568.0,960.0,46.0,0.6304910182952881
26.0,488.0,48.0,0.6155785918235779
480.0,297.0,46.0,0.6002498865127563
592.0,896.0,36.0,0.5981963872909546
901.0,229.0,44.0,0.5855141282081604
339.0,779.0,42.0,0.5831308364868164
92.0,819.0,19.0,0.5773597359657288
354.0,701.0,29.0,0.5710048675537109
386.0,752.0,17.0,0.540783703327179
28.0,207.0,29.0,0.5370895266532898
983.0,405.0,21.0,0.5184985399246216
294.0,17.0,17.0,0.5134403705596924
26.0,800.0,46.0,0.505586564540863
