x_center,y_center,box_length,score
452.0,730.0,85.0,0.8356027007102966
556.0,886.0,59.0,0.8276953101158142
690.0,474.0,82.0,0.8261154294013977
822.0,925.0,88.0,0.7826799750328064
86.0,985.0,64.0,0.7767122387886047
759.0,500.0,50.0,0.754129946231842
388.0,187.0,53.0,0.7491785287857056
566.0,939.0,21.0,0.7451764345169067
412.0,855.0,29.0,0.7402215600013733
445.0,1008.0,32.0,0.7207232117652893
910.0,214.0,21.0,0.7113332748413086
377.0,565.0,80.0,0.7086858153343201
442.0,483.0,75.0,0.7055309414863586
565.0,791.0,61.0,0.7042931318283081
409.0,263.0,88.0,0.7010027170181274
257.0,206.0,105.0,0.6961809396743774
782.0,196.0,60.0,0.6885456442832947
31.0,105.0,61.0,0.6842030882835388
633.0,394.0,29.0,0.6798381209373474
59.0,518.0,85.0,0.6726171374320984
661.0,615.0,117.0,0.6682825088500977
561.0,612.0,67.0,0.6624509692192078
944.0,957.0,61.0,0.6485339999198914
38.0,427.0,64.0,0.6293910145759583
725.0,980.0,24.0,0.619864284992218
306.0,621.0,75.0,0.604185163974762
228.0,340.0,67.0,0.6002935171127319
692.0,994.0,21.0,0.5998960733413696
93.0,144.0,82.0,0.5985155701637268
300.0,528.0,87.0,0.5886201858520508
630.0,840.0,38.0,0.5447933077812195
339.0,69.0,35.0,0.5366487503051758
855.0,803.0,90.0,0.535152792930603
37.0,202.0,19.0,0.5345627665519714
596.0,179.0,67.0,0.5195919871330261
577.0,307.0,32.0,0.516273021697998
121.0,28.0,26.0,0.5115308165550232
364.0,854.0,58.0,0.5086318254470825
