x_center,y_center,box_length,score
213.0,806.0,26.0,0.7118100523948669
800.0,869.0,45.0,0.6686832308769226
128.0,165.0,40.0,0.6284394860267639
129.0,939.0,29.0,0.6076446175575256
779.0,902.0,53.0,0.600452721118927
161.0,426.0,35.0,0.5960476398468018
240.0,182.0,31.0,0.5663883090019226
270.0,861.0,19.0,0.5505485534667969
447.0,962.0,43.0,0.5396196842193604
515.0,913.0,40.0,0.5255441665649414
979.0,719.0,48.0,0.5121662020683289
273.0,915.0,32.0,0.5080224275588989
389.0,854.0,24.0,0.504927396774292
614.0,719.0,34.0,0.5039201974868774
708.0,569.0,45.0,0.5038012266159058
