x_center,y_center,box_length,score
637.0,647.0,50.0,0.8096577525138855
57.0,97.0,69.0,0.7602566480636597
110.0,473.0,43.0,0.7552597522735596
304.0,31.0,60.0,0.7210718989372253
897.0,319.0,106.0,0.7125969529151917
454.0,146.0,29.0,0.6795523166656494
579.0,380.0,35.0,0.6582675576210022
299.0,910.0,69.0,0.6543368101119995
202.0,874.0,56.0,0.653038501739502
690.0,800.0,50.0,0.6518017053604126
810.0,395.0,72.0,0.6480094790458679
73.0,347.0,45.0,0.6464929580688477
772.0,751.0,37.0,0.6410272121429443
635.0,698.0,40.0,0.6367310285568237
165.0,652.0,64.0,0.6340211629867554
39.0,195.0,45.0,0.6232213377952576
628.0,974.0,56.0,0.6218950152397156
353.0,932.0,24.0,0.6218432784080505
218.0,493.0,29.0,0.6216058135032654
394.0,889.0,102.0,0.6212803721427917
67.0,853.0,61.0,0.6208467483520508
387.0,295.0,45.0,0.6192896366119385
618.0,563.0,32.0,0.5961887240409851
370.0,831.0,37.0,0.5898407697677612
837.0,271.0,45.0,0.5862160325050354
179.0,751.0,48.0,0.5743461847305298
891.0,745.0,77.0,0.5735470056533813
933.0,671.0,21.0,0.5652921795845032
558.0,1005.0,32.0,0.5625838041305542
469.0,415.0,67.0,0.5611904263496399
129.0,293.0,32.0,0.5527324676513672
410.0,381.0,67.0,0.5514901876449585
680.0,261.0,21.0,0.5512235164642334
286.0,370.0,40.0,0.5461291074752808
291.0,736.0,42.0,0.5427212119102478
149.0,965.0,21.0,0.5423685312271118
26.0,263.0,24.0,0.5387909412384033
188.0,200.0,37.0,0.5289960503578186
172.0,389.0,57.0,0.5193919539451599
204.0,950.0,53.0,0.5110827088356018
780.0,788.0,40.0,0.5088083744049072
139.0,712.0,40.0,0.5087370276451111
677.0,572.0,35.0,0.5059447288513184
948.0,670.0,46.0,0.5050256848335266
91.0,755.0,56.0,0.5015117526054382
