x_center,y_center,box_length,score
597.0,148.0,56.0,0.7892829179763794
750.0,444.0,24.0,0.7784765362739563
760.0,863.0,35.0,0.7736826539039612
835.0,205.0,43.0,0.7710968255996704
707.0,853.0,29.0,0.7604402303695679
948.0,896.0,64.0,0.7395256757736206
559.0,405.0,50.0,0.7350799441337585
639.0,111.0,42.0,0.7329621911048889
489.0,835.0,45.0,0.726970911026001
447.0,164.0,56.0,0.71807861328125
729.0,496.0,87.0,0.7164391279220581
896.0,321.0,32.0,0.7149035930633545
237.0,95.0,80.0,0.7067900896072388
224.0,335.0,56.0,0.7065304517745972
527.0,749.0,50.0,0.7015745043754578
633.0,993.0,61.0,0.6978962421417236
375.0,524.0,85.0,0.6945448517799377
404.0,60.0,72.0,0.6916483044624329
702.0,889.0,24.0,0.6896803379058838
173.0,317.0,50.0,0.6838146448135376
582.0,723.0,43.0,0.6827255487442017
850.0,127.0,19.0,0.673109233379364
367.0,984.0,43.0,0.6719615459442139
245.0,650.0,37.0,0.6718839406967163
654.0,716.0,32.0,0.6659373044967651
72.0,115.0,58.0,0.6646642088890076
607.0,541.0,23.0,0.6638327240943909
958.0,716.0,35.0,0.656829297542572
933.0,336.0,58.0,0.6540029644966125
900.0,854.0,85.0,0.6537960171699524
416.0,759.0,72.0,0.6485118865966797
709.0,789.0,40.0,0.6484161019325256
161.0,902.0,48.0,0.64601731300354
263.0,711.0,21.0,0.6380628347396851
158.0,834.0,67.0,0.6358988881111145
712.0,577.0,21.0,0.6345499753952026
673.0,792.0,35.0,0.6315956115722656
556.0,885.0,45.0,0.6309494376182556
523.0,794.0,43.0,0.6255155801773071
953.0,450.0,29.0,0.6181074976921082
708.0,92.0,26.0,0.6173049211502075
788.0,441.0,50.0,0.6160770654678345
572.0,540.0,29.0,0.6117041110992432
622.0,722.0,32.0,0.6102373003959656
116.0,87.0,37.0,0.6067329049110413
560.0,954.0,37.0,0.6052417755126953
166.0,24.0,43.0,0.6048802733421326
497.0,697.0,29.0,0.603880763053894
520.0,100.0,69.0,0.6023884415626526
779.0,618.0,17.0,0.5966808199882507
887.0,708.0,35.0,0.594936192035675
645.0,931.0,26.0,0.5949018597602844
158.0,180.0,50.0,0.5948027968406677
182.0,499.0,75.0,0.5915472507476807
808.0,874.0,50.0,0.5907712578773499
500.0,655.0,45.0,0.5886954069137573
904.0,194.0,17.0,0.588226854801178
550.0,136.0,29.0,0.5856111645698547
284.0,932.0,45.0,0.584780752658844
197.0,143.0,45.0,0.5788025259971619
386.0,257.0,80.0,0.5780139565467834
585.0,657.0,40.0,0.5769563317298889
190.0,596.0,37.0,0.576835572719574
893.0,296.0,21.0,0.5766498446464539
130.0,936.0,58.0,0.5746985077857971
919.0,735.0,37.0,0.5715517997741699
881.0,505.0,53.0,0.5654841661453247
840.0,970.0,37.0,0.5638105273246765
625.0,915.0,40.0,0.5626349449157715
712.0,659.0,53.0,0.5626299977302551
561.0,352.0,58.0,0.5621232390403748
372.0,591.0,19.0,0.5620707273483276
444.0,494.0,32.0,0.5613242387771606
49.0,931.0,56.0,0.5602766275405884
989.0,742.0,24.0,0.5594828724861145
513.0,178.0,69.0,0.5590242743492126
611.0,793.0,77.0,0.5563216805458069
981.0,669.0,24.0,0.5534204840660095
970.0,399.0,24.0,0.5533170700073242
397.0,883.0,21.0,0.5507723093032837
569.0,178.0,45.0,0.547379195690155
937.0,140.0,87.0,0.5467793941497803
846.0,917.0,50.0,0.5457159280776978
864.0,736.0,26.0,0.5456230044364929
329.0,517.0,21.0,0.54482102394104
357.0,37.0,35.0,0.5438706278800964
626.0,889.0,26.0,0.5436009764671326
85.0,180.0,82.0,0.5400024652481079
287.0,810.0,104.0,0.5363399386405945
590.0,378.0,50.0,0.5319452285766602
239.0,393.0,69.0,0.5294368863105774
134.0,224.0,67.0,0.5293447375297546
295.0,182.0,90.0,0.5288636088371277
337.0,755.0,24.0,0.5281087160110474
8.0,527.0,17.0,0.5262066125869751
524.0,967.0,40.0,0.5205411911010742
966.0,549.0,24.0,0.5196147561073303
832.0,729.0,26.0,0.5191943049430847
673.0,936.0,45.0,0.5191167593002319
903.0,568.0,48.0,0.519049882888794
941.0,377.0,37.0,0.5188385248184204
724.0,749.0,37.0,0.5184444785118103
993.0,576.0,21.0,0.5182991623878479
71.0,251.0,72.0,0.5150013566017151
95.0,906.0,32.0,0.5142982006072998
190.0,269.0,50.0,0.5113901495933533
834.0,699.0,21.0,0.5088636875152588
973.0,733.0,24.0,0.5085227489471436
595.0,240.0,50.0,0.5072791576385498
615.0,513.0,58.0,0.5069354176521301
106.0,323.0,80.0,0.5034785270690918
552.0,522.0,37.0,0.5028120875358582
408.0,927.0,45.0,0.5025147199630737
880.0,175.0,45.0,0.500146210193634
755.0,320.0,58.0,0.5000252723693848
