Decanoic acid,Decanoate,Decylamine,Decyltrimethyl ammonium bromid,Decyl sodium sulfate,Perfluorooctanoic acid,Glycerol monodecanoate
0.5631010764799518,1.0861233711508067,2.871979687467504,0.5067443815723522,0.1478946025411963,0.3040783929796011,0.11823335797241333
2.0701900544834304,0.14440099887237315,0.22309978068338265,0.09237021614906023,0.5861993833014129,0.1323615835252427,0.1975185806780693
1.006725166957759,0.5381159142455744,0.18548850862411712,0.7581429535554914,0.18906145074796163,0.17596494636487003,0.9825210184534383
0.5190365717663241,2.066206920757131,2.813641761875334,0.47976410454976415,0.11338394652538614,0.12750816100843268,0.5220301830911869
1.4173350300049838,0.02055132989097519,1.3157350499913552,0.1061460298153076,0.23725241798522528,0.11370045502133667,0.5683095064055085
1.271904003571701,1.0403671376630736,0.720736044436241,0.12491714835667173,0.5052257376001433,0.2535263156366252,0.39869080100725374
0.31898719250939855,1.1980949926173734,1.495831112858008,0.589935984144513,0.7629967636861262,0.08294813536462797,0.23389513093756628
0.5587346208765963,0.8923461822782639,2.8879341942852634,0.026125100739000352,0.23118147270606856,0.04305279779117665,0.02863332739989432
0.006867858995134699,0.5562032027235297,2.7716850878668766,0.762406214199833,0.2002941519430617,0.39107803493609483,0.20613658278320135
0.260192682258501,0.7052170488971917,3.045716080370425,1.3280733009335048,0.503194217683443,0.16447900338959637,0.259393806403891
