Geraniol,Decanoate,Glycine octylester,Myristoleic acid,Hexadecanoic acid,Decanal,Glycerol monodecanoate
0.17181904460268113,0.42070631631901584,0.08441039458096224,0.7912500137643262,1.0065487826200885,0.2822734182957244,0.7761304074124246
0.07004504776687122,2.1669336315800805,0.6005627792782423,0.09833297581850718,0.5126443915525744,1.085036467136451,0.8043624699624834
1.1472435933699887,2.0122461303484185,0.15738441806511777,0.17034128978495933,0.3605337233795713,0.6075473372470247,0.1598953767596977
1.3019851696056164,0.02481857457241671,0.15743376284790223,0.5893640023668082,0.05117072247745065,0.783403072188768,0.3438744460566193
1.006725166957759,0.5381159142455744,0.18548850862411712,0.7581429535554914,0.18906145074796163,0.17596494636487003,0.9825210184534383
0.3732225654345941,0.17226011391705978,0.2412891379969884,1.2832611063691453,0.4473009358224959,0.3962318997442092,0.4175673417476269
0.6908819013598346,3.9829306900885357,0.02356979866456862,0.16557056409745796,0.4513326026672882,0.024609140220850794,0.134011629599511
0.34005939803050494,0.3916724919124125,0.43686276769675375,0.9994777864335035,0.09597991911789476,0.4397859465765832,0.4257365754281768
0.6078550003361985,2.3339873576959675,0.0976966795927194,0.22584005535629165,0.007045489001163852,1.4987649431845598,0.7438472798223981
0.5940554944324471,0.3307887015320906,0.3331044724624456,0.1346277376017289,0.39463711033777094,0.8378898357348745,0.8425331990600733
