Decanoic acid,Decanoate,Decylamine,Decanal,Decyl sodium sulfate,Decanol,Glycerol monodecanoate
0.3851197675806546,0.38904543138240183,0.7248307442186565,1.5605890170800834,1.168295959029367,0.3058452995721322,0.5282206886492433
0.7014115499668072,0.14832170544931042,0.35580690079292665,0.25539951198769206,0.2471923208632203,0.6082606989610503,0.1857891022982255
1.008434979791468,0.01960822961204765,4.064354818336889,0.17770045419776687,0.7720432170639464,1.3881834205932975,0.9326858459643393
0.6908819013598346,3.9829306900885357,0.02356979866456862,0.16557056409745796,0.4513326026672882,0.024609140220850794,0.134011629599511
0.4005921378161603,0.8903531696918945,3.072945178307184,1.6994299385323586,0.00941424755501815,1.0083004193918859,0.024777961488140286
1.200601500913467,0.30238795015571235,0.8004605281417846,1.1763699288362814,0.172045673293207,0.22402510417135618,0.5138531824938831
0.34005939803050494,0.3916724919124125,0.43686276769675375,0.9994777864335035,0.09597991911789476,0.4397859465765832,0.4257365754281768
0.3228492041073067,2.606904900478843,2.256435612266806,0.04974733484886685,0.4884282953236793,0.23581627231467217,0.5931617474380873
3.1569532393842428,0.6246075138313814,1.195766546130785,0.1509353572322125,0.046469832156572174,1.415885405711377,0.7850693484147422
0.2615656639358892,0.5833140077291245,0.8901336326086823,2.345564769711142,0.11862600377248236,0.2127440036895065,0.7520253416390282
