Decanoic acid,Decanoate,Decylamine,Decyltrimethyl ammonium bromid,Decyl sodium sulfate,Perfluorooctanoic acid,Glycerol monodecanoate
3.720804972329004,1.9360159034779212,2.5562113888187215,0.03757106070317725,4.685079907733172,1.1441849425991104,0.15856509956983064
0.0002413665933832898,1.4988246625298602,0.08757163358462085,0.6402184371350708,2.549234091330344,0.059123756064821606,0.7892295552053009
3.137698941577066,4.087244256903843,4.424286041845952,4.586383292548978,1.545508050092996,1.4485553701399518,0.6903361869262967
0.027967902503924273,1.8418728663601283,0.5738063076214592,1.240608137273805,4.560871675514417,0.44142524054367105,0.789804001499835
3.4923488825275273,3.231380161901971,3.3692398368358094,4.318508491320481,1.6516238058944115,0.20143486386085568,0.5334526391990579
2.918980819839424,3.176569339461271,1.1824771486707415,3.329111042045309,0.24034022360763374,0.6469256860863164,0.0039995763417131095
0.28394766970387764,0.6878456404276927,0.9279018936349682,1.2640782506824926,3.08305907558836,0.20076546582108407,0.42823605105053125
4.470665181799149,2.9282653003863266,0.28537321065875837,3.7402303824383836,1.3949431069573996,1.2697505597358203,0.740926455190464
4.331126020432361,2.9476370327575245,2.2507573435575354,3.3763899024695156,2.190570494797978,1.4298628079468054,0.6402980119975802
4.609570042140605,0.5700905897958322,1.4374434650658374,0.714465837760978,0.6659002353566493,0.034376850957545446,0.5257983795327273
