run,roc_auc,mean_auc,std_auc
0,0.8592105263157895,0.812236842105263,0.053490236220111696
1,0.806140350877193,0.812236842105263,0.053490236220111696
2,0.7403508771929824,0.812236842105263,0.053490236220111696
3,0.7921052631578948,0.812236842105263,0.053490236220111696
4,0.8578947368421053,0.812236842105263,0.053490236220111696
5,0.8802631578947369,0.812236842105263,0.053490236220111696
6,0.831140350877193,0.812236842105263,0.053490236220111696
7,0.8609649122807018,0.812236842105263,0.053490236220111696
8,0.7850877192982456,0.812236842105263,0.053490236220111696
9,0.7092105263157895,0.812236842105263,0.053490236220111696
