run,roc_auc,mean_auc,std_auc
0,0.8776315789473684,0.8733771929824563,0.04039283192643521
1,0.8578947368421053,0.8733771929824563,0.04039283192643521
2,0.8214912280701754,0.8733771929824563,0.04039283192643521
3,0.8530701754385966,0.8733771929824563,0.04039283192643521
4,0.9052631578947369,0.8733771929824563,0.04039283192643521
5,0.9333333333333333,0.8733771929824563,0.04039283192643521
6,0.8978070175438596,0.8733771929824563,0.04039283192643521
7,0.8710526315789474,0.8733771929824563,0.04039283192643521
8,0.918421052631579,0.8733771929824563,0.04039283192643521
9,0.7978070175438596,0.8733771929824563,0.04039283192643521
