run,roc_auc,mean_auc,std_auc
0,0.9201754385964912,0.8653508771929823,0.04005757244885836
1,0.8359649122807017,0.8653508771929823,0.04005757244885836
2,0.8228070175438597,0.8653508771929823,0.04005757244885836
3,0.8364035087719298,0.8653508771929823,0.04005757244885836
4,0.8671052631578948,0.8653508771929823,0.04005757244885836
5,0.9320175438596491,0.8653508771929823,0.04005757244885836
6,0.9026315789473685,0.8653508771929823,0.04005757244885836
7,0.8719298245614036,0.8653508771929823,0.04005757244885836
8,0.8592105263157895,0.8653508771929823,0.04005757244885836
9,0.8052631578947369,0.8653508771929823,0.04005757244885836
