run,roc_auc,mean_auc,std_auc
0,0.8293859649122808,0.8294736842105264,0.03368683743411827
1,0.8425438596491229,0.8294736842105264,0.03368683743411827
2,0.7982456140350878,0.8294736842105264,0.03368683743411827
3,0.8241228070175438,0.8294736842105264,0.03368683743411827
4,0.8078947368421053,0.8294736842105264,0.03368683743411827
5,0.8513157894736841,0.8294736842105264,0.03368683743411827
6,0.8557017543859649,0.8294736842105264,0.03368683743411827
7,0.8407894736842106,0.8294736842105264,0.03368683743411827
8,0.8868421052631579,0.8294736842105264,0.03368683743411827
9,0.7578947368421052,0.8294736842105264,0.03368683743411827
