run,roc_auc,mean_auc,std_auc
0,0.8960526315789474,0.8370614035087719,0.053477935463232526
1,0.781140350877193,0.8370614035087719,0.053477935463232526
2,0.767982456140351,0.8370614035087719,0.053477935463232526
3,0.7903508771929825,0.8370614035087719,0.053477935463232526
4,0.8763157894736843,0.8370614035087719,0.053477935463232526
5,0.9241228070175438,0.8370614035087719,0.053477935463232526
6,0.8916666666666667,0.8370614035087719,0.053477935463232526
7,0.8328947368421052,0.8370614035087719,0.053477935463232526
8,0.8258771929824561,0.8370614035087719,0.053477935463232526
9,0.7842105263157895,0.8370614035087719,0.053477935463232526
