run,roc_auc,mean_auc,std_auc
0,0.7238984088127295,0.7324816401468788,0.03170404369015869
1,0.7273867809057528,0.7324816401468788,0.03170404369015869
2,0.669094247246022,0.7324816401468788,0.03170404369015869
3,0.7450122399020808,0.7324816401468788,0.03170404369015869
4,0.7481640146878825,0.7324816401468788,0.03170404369015869
5,0.6854345165238679,0.7324816401468788,0.03170404369015869
6,0.7742962056303551,0.7324816401468788,0.03170404369015869
7,0.7307833537331702,0.7324816401468788,0.03170404369015869
8,0.7626376988984089,0.7324816401468788,0.03170404369015869
9,0.758108935128519,0.7324816401468788,0.03170404369015869
