run,roc_auc,mean_auc,std_auc
0,0.7954100367197062,0.8154253365973073,0.029884615942436354
1,0.8453794369645043,0.8154253365973073,0.029884615942436354
2,0.8002141982864137,0.8154253365973073,0.029884615942436354
3,0.8457160342717258,0.8154253365973073,0.029884615942436354
4,0.7673500611995104,0.8154253365973073,0.029884615942436354
5,0.7847919216646267,0.8154253365973073,0.029884615942436354
6,0.8547123623011016,0.8154253365973073,0.029884615942436354
7,0.8238372093023255,0.8154253365973073,0.029884615942436354
8,0.8467258261933904,0.8154253365973073,0.029884615942436354
9,0.7901162790697674,0.8154253365973073,0.029884615942436354
