run,roc_auc,mean_auc,std_auc
0,0.6784733124018838,0.7011119832548405,0.02823136677845235
1,0.7635400313971743,0.7011119832548405,0.02823136677845235
2,0.6915881737310308,0.7011119832548405,0.02823136677845235
3,0.6855376766091053,0.7011119832548405,0.02823136677845235
4,0.6769688644688645,0.7011119832548405,0.02823136677845235
5,0.6668956043956045,0.7011119832548405,0.02823136677845235
6,0.7163788592360022,0.7011119832548405,0.02823136677845235
7,0.7359366823652538,0.7011119832548405,0.02823136677845235
8,0.6960361067503925,0.7011119832548405,0.02823136677845235
9,0.6997645211930925,0.7011119832548405,0.02823136677845235
