run,roc_auc,mean_auc,std_auc
0,0.8126376988984089,0.813858629130967,0.025751200128169376
1,0.8207466340269278,0.813858629130967,0.025751200128169376
2,0.7679926560587516,0.813858629130967,0.025751200128169376
3,0.8354039167686659,0.813858629130967,0.025751200128169376
4,0.7892900856793146,0.813858629130967,0.025751200128169376
5,0.780232558139535,0.813858629130967,0.025751200128169376
6,0.8507955936352509,0.813858629130967,0.025751200128169376
7,0.8194002447980416,0.813858629130967,0.025751200128169376
8,0.8189106487148102,0.813858629130967,0.025751200128169376
9,0.8431762545899633,0.813858629130967,0.025751200128169376
