run,roc_auc,mean_auc,std_auc
0,0.7625152998776011,0.7657037943696452,0.01781386135667354
1,0.7821909424724602,0.7657037943696452,0.01781386135667354
2,0.7613219094247247,0.7657037943696452,0.01781386135667354
3,0.7885862913096695,0.7657037943696452,0.01781386135667354
4,0.7519583843329254,0.7657037943696452,0.01781386135667354
5,0.7305385556915545,0.7657037943696452,0.01781386135667354
6,0.78968788249694,0.7657037943696452,0.01781386135667354
7,0.7535801713586292,0.7657037943696452,0.01781386135667354
8,0.7586597307221542,0.7657037943696452,0.01781386135667354
9,0.7779987760097918,0.7657037943696452,0.01781386135667354
