run,roc_auc,mean_auc,std_auc
0,0.7833537331701346,0.8047613219094247,0.033211106232081095
1,0.8174418604651162,0.8047613219094247,0.033211106232081095
2,0.7785189718482252,0.8047613219094247,0.033211106232081095
3,0.8515911872705019,0.8047613219094247,0.033211106232081095
4,0.75734394124847,0.8047613219094247,0.033211106232081095
5,0.774908200734394,0.8047613219094247,0.033211106232081095
6,0.8608323133414932,0.8047613219094247,0.033211106232081095
7,0.8092411260709915,0.8047613219094247,0.033211106232081095
8,0.8318237454100368,0.8047613219094247,0.033211106232081095
9,0.7825581395348837,0.8047613219094247,0.033211106232081095
