run,roc_auc,mean_auc,std_auc
0,0.7864137086903304,0.7936505507955937,0.02879502732089969
1,0.797062423500612,0.7936505507955937,0.02879502732089969
2,0.7562117503059976,0.7936505507955937,0.02879502732089969
3,0.8282741738066096,0.7936505507955937,0.02879502732089969
4,0.7636474908200734,0.7936505507955937,0.02879502732089969
5,0.7539167686658507,0.7936505507955937,0.02879502732089969
6,0.8322521419828642,0.7936505507955937,0.02879502732089969
7,0.7828641370869034,0.7936505507955937,0.02879502732089969
8,0.8313953488372092,0.7936505507955937,0.02879502732089969
9,0.804467564259486,0.7936505507955937,0.02879502732089969
