run,roc_auc,mean_auc,std_auc
0,0.6880796508456082,0.7071770496763878,0.037527658869076726
1,0.6529040404040404,0.7071770496763878,0.037527658869076726
2,0.7373757195185766,0.7071770496763878,0.037527658869076726
3,0.7046473838154045,0.7071770496763878,0.037527658869076726
4,0.6618102477477477,0.7071770496763878,0.037527658869076726
5,0.733457019171305,0.7071770496763878,0.037527658869076726
6,0.7167028770820988,0.7071770496763878,0.037527658869076726
7,0.6859695152423787,0.7071770496763878,0.037527658869076726
8,0.7027417027417027,0.7071770496763878,0.037527658869076726
9,0.7880823401950162,0.7071770496763878,0.037527658869076726
