run,roc_auc,mean_auc,std_auc
0,0.7697372586261475,0.8064871133734973,0.03205887304512517
1,0.810221272315816,0.8064871133734973,0.03205887304512517
2,0.830109126984127,0.8064871133734973,0.03205887304512517
3,0.7680765595463138,0.8064871133734973,0.03205887304512517
4,0.770547263681592,0.8064871133734973,0.03205887304512517
5,0.8351258787478218,0.8064871133734973,0.03205887304512517
6,0.8577493457400408,0.8064871133734973,0.03205887304512517
7,0.8363087754588886,0.8064871133734973,0.03205887304512517
8,0.7721272315815942,0.8064871133734973,0.03205887304512517
9,0.8148684210526316,0.8064871133734973,0.03205887304512517
