run,roc_auc,mean_auc,std_auc
0,0.8562836340614118,0.8752018620414121,0.025085889516579578
1,0.8620819713351773,0.8752018620414121,0.025085889516579578
2,0.898375496031746,0.8752018620414121,0.025085889516579578
3,0.8715737240075615,0.8752018620414121,0.025085889516579578
4,0.8356882255389718,0.8752018620414121,0.025085889516579578
5,0.913296881571832,0.8752018620414121,0.025085889516579578
6,0.8889793544635068,0.8752018620414121,0.025085889516579578
7,0.9096052300729193,0.8752018620414121,0.025085889516579578
8,0.8471209454362585,0.8752018620414121,0.025085889516579578
9,0.869013157894737,0.8752018620414121,0.025085889516579578
