Geraniol,Decanoate,Glycine octylester,Myristoleic acid,Hexadecanoic acid,Decanal,Glycerol monodecanoate
0.3926587990540544,4.681768040838695,3.010242017614756,4.3835938084515655,3.969480949356333,0.7295309178868242,0.8945749803308822
0.16286810990797715,4.8364527525474585,2.300393200485537,0.667583293075285,1.8565875560398877,0.10552206500635701,0.9531959226984804
0.14944793841325432,4.730949045991596,4.853574273057668,2.493618006533526,1.613148333588895,0.3279246298072984,0.7578293517524809
3.137698941577066,4.087244256903843,4.424286041845952,4.586383292548978,1.545508050092996,1.4485553701399518,0.6903361869262967
0.22495612773991688,1.7777419669120913,3.684301679850014,1.3510594211676514,4.941846515668305,0.8632434376224221,0.052685810698753714
2.184510493005073,4.728891982606081,3.561854713162658,0.04318288086585098,4.002833698686099,1.049585278233971,0.717578605249801
4.23986459043752,4.69678982194005,4.42977905738812,1.3388931939809041,3.6859707662115704,1.168103473950184,0.24755245262459818
0.016415051628101144,2.195019680233214,1.4986665395586156,1.221673570618408,4.655197385368792,0.6877301749069287,0.8193606813529947
3.4923488825275273,3.231380161901971,3.3692398368358094,4.318508491320481,1.6516238058944115,0.20143486386085568,0.5334526391990579
1.4724486885963457,4.656799607131398,1.1138843929906759,4.831585998598752,2.3093506670999524,0.7887971725658264,0.1219084047696764
