run,roc_auc,mean_auc,std_auc
0,0.899561403508772,0.8600877192982457,0.04113932217320093
1,0.8307017543859649,0.8600877192982457,0.04113932217320093
2,0.8258771929824562,0.8600877192982457,0.04113932217320093
3,0.8171052631578948,0.8600877192982457,0.04113932217320093
4,0.8872807017543859,0.8600877192982457,0.04113932217320093
5,0.9298245614035088,0.8600877192982457,0.04113932217320093
6,0.875438596491228,0.8600877192982457,0.04113932217320093
7,0.8530701754385965,0.8600877192982457,0.04113932217320093
8,0.8903508771929826,0.8600877192982457,0.04113932217320093
9,0.7916666666666666,0.8600877192982457,0.04113932217320093
