run,roc_auc,mean_auc,std_auc
0,0.8719298245614036,0.87640350877193,0.0440848603871961
1,0.8921052631578947,0.87640350877193,0.0440848603871961
2,0.8030701754385966,0.87640350877193,0.0440848603871961
3,0.8653508771929824,0.87640350877193,0.0440848603871961
4,0.91140350877193,0.87640350877193,0.0440848603871961
5,0.9495614035087719,0.87640350877193,0.0440848603871961
6,0.8916666666666666,0.87640350877193,0.0440848603871961
7,0.8723684210526316,0.87640350877193,0.0440848603871961
8,0.9070175438596492,0.87640350877193,0.0440848603871961
9,0.7995614035087719,0.87640350877193,0.0440848603871961
