run,roc_auc,mean_auc,std_auc
0,0.8122807017543859,0.8266666666666665,0.03430026466888852
1,0.849561403508772,0.8266666666666665,0.03430026466888852
2,0.7925438596491229,0.8266666666666665,0.03430026466888852
3,0.8179824561403509,0.8266666666666665,0.03430026466888852
4,0.7982456140350878,0.8266666666666665,0.03430026466888852
5,0.8359649122807017,0.8266666666666665,0.03430026466888852
6,0.8539473684210527,0.8266666666666665,0.03430026466888852
7,0.8372807017543861,0.8266666666666665,0.03430026466888852
8,0.8973684210526316,0.8266666666666665,0.03430026466888852
9,0.7714912280701754,0.8266666666666665,0.03430026466888852
