decanoic acid_SMILES,decanoic acid_Concentration,decanoate_SMILES,decanoate_Concentration,decylamine_SMILES,decylamine_Concentration,decyl trimethylamine_SMILES,decyl trimethylamine_Concentration,decylsulfate_SMILES,decylsulfate_Concentration,decanol_SMILES,decanol_Concentration,monocaprin_SMILES,monocaprin_Concentration,num_vesicles
CCCCCCCCCC(=O)O,1.7448425494403033,CCCCCCCCCC(=O)[O-],0.7770286645406475,CCCCCCCCCCN,0.0344014267173324,CCCCCCCCCC[N+](C)(C)C.[Br-],1.4816045409242156,CCCCCCCCCCOS(=O)(=O)[O-].[Na+],1.7001922757025645,CCCCCCCCCCO,0.8950670954225284,CCCCCCCCCC(=O)OCC(CO)O,0.13365638481267342,35
CCCCCCCCCC(=O)O,1.599387576580599,CCCCCCCCCC(=O)[O-],1.770706060030223,CCCCCCCCCCN,1.7316555451583495,CCCCCCCCCC[N+](C)(C)C.[Br-],0.17479329037316296,CCCCCCCCCCOS(=O)(=O)[O-].[Na+],1.599387576580599,CCCCCCCCCCO,0.8733832308628786,CCCCCCCCCC(=O)OCC(CO)O,0.2851789422336624,18
CCCCCCCCCC(=O)O,0.7055697005585024,CCCCCCCCCC(=O)[O-],1.273965176145971,CCCCCCCCCCN,1.5422291627406504,CCCCCCCCCC[N+](C)(C)C.[Br-],1.4816045409242156,CCCCCCCCCCOS(=O)(=O)[O-].[Na+],0.04688358589885032,CCCCCCCCCCO,0.8544153281560676,CCCCCCCCCC(=O)OCC(CO)O,0.5452270504833231,0
CCCCCCCCCC(=O)O,1.7227665977411035,CCCCCCCCCC(=O)[O-],1.0560526742493137,CCCCCCCCCCN,1.5789787049493915,CCCCCCCCCC[N+](C)(C)C.[Br-],0.5276827408324135,CCCCCCCCCCOS(=O)(=O)[O-].[Na+],1.3673663512343717,CCCCCCCCCCO,0.07788653865707114,CCCCCCCCCC(=O)OCC(CO)O,0.09803374027136533,30
CCCCCCCCCC(=O)O,0.31481073984003344,CCCCCCCCCC(=O)[O-],0.09893994785490348,CCCCCCCCCCN,1.1786549963416462,CCCCCCCCCC[N+](C)(C)C.[Br-],0.9162907318741552,CCCCCCCCCCOS(=O)(=O)[O-].[Na+],1.3480731482996928,CCCCCCCCCCO,0.8950670954225284,CCCCCCCCCC(=O)OCC(CO)O,0.2851789422336624,12
CCCCCCCCCC(=O)O,1.155307632344655,CCCCCCCCCC(=O)[O-],0.8219800524029137,CCCCCCCCCCN,1.4759065198095778,CCCCCCCCCC[N+](C)(C)C.[Br-],0.009950330853167983,CCCCCCCCCCOS(=O)(=O)[O-].[Na+],1.536867219599265,CCCCCCCCCCO,0.6219196712715775,CCCCCCCCCC(=O)OCC(CO)O,0.3646431135879092,8
CCCCCCCCCC(=O)O,1.01160091167848,CCCCCCCCCC(=O)[O-],0.46058440732924394,CCCCCCCCCCN,1.1863178690872151,CCCCCCCCCC[N+](C)(C)C.[Br-],1.5633939739326936,CCCCCCCCCCOS(=O)(=O)[O-].[Na+],1.259880436264232,CCCCCCCCCCO,0.03536714383729122,CCCCCCCCCC(=O)OCC(CO)O,0.3293037471426004,14
CCCCCCCCCC(=O)O,0.7770286645406475,CCCCCCCCCC(=O)[O-],1.3673663512343717,CCCCCCCCCCN,1.5633939739326936,CCCCCCCCCC[N+](C)(C)C.[Br-],1.2383742310432684,CCCCCCCCCCOS(=O)(=O)[O-].[Na+],0.9262410627273231,CCCCCCCCCCO,0.1856493468866293,CCCCCCCCCC(=O)OCC(CO)O,0.20701416938432604,22
CCCCCCCCCC(=O)O,1.4644121403838426,CCCCCCCCCC(=O)[O-],1.4644121403838426,CCCCCCCCCCN,1.5789787049493915,CCCCCCCCCC[N+](C)(C)C.[Br-],1.0986122886681098,CCCCCCCCCCOS(=O)(=O)[O-].[Na+],1.552867560945706,CCCCCCCCCCO,0.8950670954225284,CCCCCCCCCC(=O)OCC(CO)O,0.4478858239921165,36
CCCCCCCCCC(=O)O,1.404870746692826,CCCCCCCCCC(=O)[O-],1.1863178690872151,CCCCCCCCCCN,0.1906203596086497,CCCCCCCCCC[N+](C)(C)C.[Br-],1.727220948090484,CCCCCCCCCCOS(=O)(=O)[O-].[Na+],0.2029408439966902,CCCCCCCCCCO,0.8512187351304402,CCCCCCCCCC(=O)OCC(CO)O,0.1484200051182732,7
