run,roc_auc,mean_auc,std_auc
0,0.8131578947368422,0.8127192982456141,0.034142983256190425
1,0.8223684210526315,0.8127192982456141,0.034142983256190425
2,0.7785087719298247,0.8127192982456141,0.034142983256190425
3,0.8206140350877192,0.8127192982456141,0.034142983256190425
4,0.8026315789473685,0.8127192982456141,0.034142983256190425
5,0.8600877192982456,0.8127192982456141,0.034142983256190425
6,0.8570175438596491,0.8127192982456141,0.034142983256190425
7,0.8350877192982455,0.8127192982456141,0.034142983256190425
8,0.7978070175438596,0.8127192982456141,0.034142983256190425
9,0.7399122807017544,0.8127192982456141,0.034142983256190425
