run,roc_auc,mean_auc,std_auc
0,0.8447368421052631,0.8653947368421052,0.03434210526315792
1,0.8271929824561404,0.8653947368421052,0.03434210526315792
2,0.8381578947368421,0.8653947368421052,0.03434210526315792
3,0.8403508771929824,0.8653947368421052,0.03434210526315792
4,0.9206140350877193,0.8653947368421052,0.03434210526315792
5,0.8706140350877193,0.8653947368421052,0.03434210526315792
6,0.9315789473684212,0.8653947368421052,0.03434210526315792
7,0.8416666666666668,0.8653947368421052,0.03434210526315792
8,0.8539473684210527,0.8653947368421052,0.03434210526315792
9,0.8850877192982456,0.8653947368421052,0.03434210526315792
