run,roc_auc,mean_auc,std_auc
0,0.8162280701754386,0.8478070175438598,0.032301671297406936
1,0.8434210526315788,0.8478070175438598,0.032301671297406936
2,0.8250000000000001,0.8478070175438598,0.032301671297406936
3,0.8333333333333334,0.8478070175438598,0.032301671297406936
4,0.8548245614035088,0.8478070175438598,0.032301671297406936
5,0.861842105263158,0.8478070175438598,0.032301671297406936
6,0.9219298245614035,0.8478070175438598,0.032301671297406936
7,0.8280701754385965,0.8478070175438598,0.032301671297406936
8,0.8109649122807019,0.8478070175438598,0.032301671297406936
9,0.8824561403508772,0.8478070175438598,0.032301671297406936
