run,roc_auc,mean_auc,std_auc
0,0.8508771929824561,0.8618421052631579,0.0233249226366332
1,0.8425438596491229,0.8618421052631579,0.0233249226366332
2,0.8504385964912281,0.8618421052631579,0.0233249226366332
3,0.856578947368421,0.8618421052631579,0.0233249226366332
4,0.8833333333333333,0.8618421052631579,0.0233249226366332
5,0.887719298245614,0.8618421052631579,0.0233249226366332
6,0.9057017543859649,0.8618421052631579,0.0233249226366332
7,0.8657894736842107,0.8618421052631579,0.0233249226366332
8,0.8543859649122808,0.8618421052631579,0.0233249226366332
9,0.8210526315789474,0.8618421052631579,0.0233249226366332
