names
sample240_fmvsgp_0
sample240_fmvsgp_1
sample240_fmvsgp_2
sample240_fmvsgp_3
sample240_fmvsgp_4
sample240_fmvsgp_5
sample240_fmvsgp_6
sample144_ori_0
sample144_ori_1
sample144_ori_2
sample144_ori_3
sample144_ori_4
sample144_ori_5
sample144_ori_6
sample144_smi_1
sample144_smi_2
sample144_smi_3
sample144_smi_4
sample144_smi_5
sample144_smi_6
sample144_dis_1
sample144_dis_2
sample144_dis_3
sample144_dis_4
sample144_dis_5
sample144_dis_6
sample288_ori_0
sample288_ori_1
sample288_ori_2
sample288_ori_3
sample288_ori_4
sample288_ori_5
sample288_ori_6
sample288_smi_1
sample288_smi_2
sample288_smi_3
sample288_smi_4
sample288_smi_5
sample288_smi_6
sample288_dis_1
sample288_dis_2
sample288_dis_3
sample288_dis_4
sample288_dis_5
sample288_dis_6
