Decanal,Geraniol,Hexadecanoic acid,Decyltrimethyl ammonium bromid,Decyl sodium sulfate,Myristoleic acid,Glycine octylester
1.3811736302130324,0.12070558916134969,1.687179558691023,3.5133607189745395,4.966223610360679,0.4833743720793987,0.24858907138049033
0.42618441528838785,0.016622436218210235,2.076818758616932,0.7627386290270953,4.71812682026043,0.1942294237282276,0.27088066749579864
2.051109753079281,0.01816478226690822,0.41780131247133173,1.411733936618788,4.490798974756318,0.42119407926558555,0.3419882382621448
0.6364788725099713,0.06053074541765487,1.123657680419945,3.9719095044354598,4.816372494064098,0.7926962778262073,0.1185561613830802
1.4814492949634712,0.07733302390107905,0.30446805664247173,4.857974450269859,4.636484661674608,0.004536718774475025,0.9343002966767731
1.0246224842449847,0.41028329016329423,0.11592708771269827,1.882850373391986,4.885186206872203,0.16516710808359303,0.03288871185558346
1.3967582938158278,0.2172824515900929,1.6692875858608438,1.2572221084007444,3.5398084374271597,0.09403441613346504,0.4027336900975511
2.987883669637485,0.04988169335486821,0.12392940801891726,1.2961950973500744,4.099303354439111,0.6382154020713399,0.41207088173425327
1.077385994141099,0.4087785395799798,1.525782613291371,4.088929860195434,3.225955929930635,0.06217562088035761,0.6161631029116451
0.4237645844274814,0.1911196083958498,0.34844560254856155,4.23362678492282,3.357414660531944,0.38323656061245165,0.5755120287671586
