run,roc_auc,mean_auc,std_auc
0,0.8283634061411839,0.8207105633496445,0.031163845949746086
1,0.8216620568267539,0.8207105633496445,0.031163845949746086
2,0.8268229166666665,0.8207105633496445,0.031163845949746086
3,0.8149810964083176,0.8207105633496445,0.031163845949746086
4,0.7906467661691542,0.8207105633496445,0.031163845949746086
5,0.8408339842576459,0.8207105633496445,0.031163845949746086
6,0.8594358825239895,0.8207105633496445,0.031163845949746086
7,0.8487553432235353,0.8207105633496445,0.031163845949746086
8,0.7440910233844606,0.8207105633496445,0.031163845949746086
9,0.8315131578947368,0.8207105633496445,0.031163845949746086
