run,roc_auc,mean_auc,std_auc
0,0.7612535612535613,0.795463317096044,0.031274665242973496
1,0.743336685944179,0.795463317096044,0.031274665242973496
2,0.8094618055555556,0.795463317096044,0.031274665242973496
3,0.8035798676748582,0.795463317096044,0.031274665242973496
4,0.7633167495854063,0.795463317096044,0.031274665242973496
5,0.8241903502974224,0.795463317096044,0.031274665242973496
6,0.8444315207909275,0.795463317096044,0.031274665242973496
7,0.8306512446567764,0.795463317096044,0.031274665242973496
8,0.7866482273070154,0.795463317096044,0.031274665242973496
9,0.7877631578947368,0.795463317096044,0.031274665242973496
