run,roc_auc,mean_auc,std_auc
0,0.5992225859247137,0.6369327661136067,0.03753580136551482
1,0.6399621212121213,0.6369327661136067,0.03753580136551482
2,0.7080716902145473,0.6369327661136067,0.03753580136551482
3,0.6101397465063373,0.6369327661136067,0.03753580136551482
4,0.6042370495495496,0.6369327661136067,0.03753580136551482
5,0.6844636844636844,0.6369327661136067,0.03753580136551482
6,0.6708144051616302,0.6369327661136067,0.03753580136551482
7,0.6285607196401799,0.6369327661136067,0.03753580136551482
8,0.6351954923383495,0.6369327661136067,0.03753580136551482
9,0.588660166124955,0.6369327661136067,0.03753580136551482
