run,roc_auc,mean_auc,std_auc
0,0.7843621399176957,0.730129421592345,0.03177664690248195
1,0.704676892129746,0.730129421592345,0.03177664690248195
2,0.7083953373015872,0.730129421592345,0.03177664690248195
3,0.669718809073724,0.730129421592345,0.03177664690248195
4,0.7091873963515755,0.730129421592345,0.03177664690248195
5,0.7484828456408099,0.730129421592345,0.03177664690248195
6,0.7667345158476302,0.730129421592345,0.03177664690248195
7,0.7321473472466683,0.730129421592345,0.03177664690248195
8,0.7311415639929596,0.730129421592345,0.03177664690248195
9,0.7464473684210526,0.730129421592345,0.03177664690248195
