run,roc_auc,mean_auc,std_auc
0,0.8605263157894737,0.8894362325061469,0.04783442031968954
1,0.8848484848484849,0.8894362325061469,0.04783442031968954
2,0.8385964912280701,0.8894362325061469,0.04783442031968954
3,0.96,0.8894362325061469,0.04783442031968954
4,0.940714908456844,0.8894362325061469,0.04783442031968954
5,0.8762975778546713,0.8894362325061469,0.04783442031968954
6,0.9105263157894737,0.8894362325061469,0.04783442031968954
7,0.806060606060606,0.8894362325061469,0.04783442031968954
8,0.8663053297199639,0.8894362325061469,0.04783442031968954
9,0.9504862953138815,0.8894362325061469,0.04783442031968954
