run,roc_auc,mean_auc,std_auc
0,0.8298245614035088,0.872015514574598,0.05593531133094793
1,0.7930735930735932,0.872015514574598,0.05593531133094793
2,0.8184210526315789,0.872015514574598,0.05593531133094793
3,0.975813953488372,0.872015514574598,0.05593531133094793
4,0.9067131647776809,0.872015514574598,0.05593531133094793
5,0.8442906574394463,0.872015514574598,0.05593531133094793
6,0.9184210526315789,0.872015514574598,0.05593531133094793
7,0.8822510822510822,0.872015514574598,0.05593531133094793
8,0.8238482384823849,0.872015514574598,0.05593531133094793
9,0.927497789566755,0.872015514574598,0.05593531133094793
