run,roc_auc,mean_auc,std_auc
0,0.8745614035087719,0.8921387836319941,0.04283323267124719
1,0.8874458874458874,0.8921387836319941,0.04283323267124719
2,0.8394736842105263,0.8921387836319941,0.04283323267124719
3,0.9553488372093023,0.8921387836319941,0.04283323267124719
4,0.9293809938971229,0.8921387836319941,0.04283323267124719
5,0.8875432525951558,0.8921387836319941,0.04283323267124719
6,0.9236842105263158,0.8921387836319941,0.04283323267124719
7,0.845021645021645,0.8921387836319941,0.04283323267124719
8,0.8319783197831978,0.8921387836319941,0.04283323267124719
9,0.9469496021220158,0.8921387836319941,0.04283323267124719
