run,roc_auc,mean_auc,std_auc
0,0.8789473684210526,0.912186400933283,0.03815312396432956
1,0.8926406926406926,0.912186400933283,0.03815312396432956
2,0.8429824561403509,0.912186400933283,0.03815312396432956
3,0.9683720930232558,0.912186400933283,0.03815312396432956
4,0.948561464690497,0.912186400933283,0.03815312396432956
5,0.8927335640138407,0.912186400933283,0.03815312396432956
6,0.9421052631578947,0.912186400933283,0.03815312396432956
7,0.9099567099567101,0.912186400933283,0.03815312396432956
8,0.8888888888888888,0.912186400933283,0.03815312396432956
9,0.9566755083996463,0.912186400933283,0.03815312396432956
