smi1,conc1,smi2,conc2,smi3,conc3,smi4,conc4,smi5,conc5,smi6,conc6,smi7,conc7,vesicles_formation
CCCCCCCCCC(=O)O,0.30680822051230106,CCCCCCCCCC(=O)[O-],0.07629622414856164,CCCCCCCCCCN,0.0022726534852763047,CCCCCCCCCC[N+](C)(C)C.[Br-],0.22077205285541243,CCCCCCCCCCOS(=O)(=O)[O-].[Na+],0.290574981331756,CCCCCCCCCCO,0.09399045485535573,CCCCCCCCCC(=O)OCC(CO)O,0.009285412811271744,35
CCCCCCCCCC(=O)O,0.2042293573238093,CCCCCCCCCC(=O)[O-],0.25205521948191667,CCCCCCCCCCN,0.24042190165967423,CCCCCCCCCC[N+](C)(C)C.[Br-],0.009875394240214571,CCCCCCCCCCOS(=O)(=O)[O-].[Na+],0.2042293573238093,CCCCCCCCCCO,0.07212657049790229,CCCCCCCCCC(=O)OCC(CO)O,0.017062199472622046,18
CCCCCCCCCC(=O)O,0.08009063916236285,CCCCCCCCCC(=O)[O-],0.20120331301764327,CCCCCCCCCCN,0.2871542428504229,CCCCCCCCCC[N+](C)(C)C.[Br-],0.26566651039222805,CCCCCCCCCCOS(=O)(=O)[O-].[Na+],0.0037505860290667405,CCCCCCCCCCO,0.10548523206750231,CCCCCCCCCC(=O)OCC(CO)O,0.05664947648069568,0
CCCCCCCCCC(=O)O,0.3255715195696564,CCCCCCCCCC(=O)[O-],0.13270578243328388,CCCCCCCCCCN,0.27248920659634274,CCCCCCCCCC[N+](C)(C)C.[Br-],0.04918961002193721,CCCCCCCCCCOS(=O)(=O)[O-].[Na+],0.20702102059592284,CCCCCCCCCCO,0.005732889801117857,CCCCCCCCCC(=O)OCC(CO)O,0.007289970981668387,30
CCCCCCCCCC(=O)O,0.041800824718969454,CCCCCCCCCC(=O)[O-],0.011749421002088702,CCCCCCCCCCN,0.2541942043721116,CCCCCCCCCC[N+](C)(C)C.[Br-],0.1694628029147411,CCCCCCCCCCOS(=O)(=O)[O-].[Na+],0.32197932553800807,CCCCCCCCCCO,0.16353160481272513,CCCCCCCCCC(=O)OCC(CO)O,0.03728181664124304,12
CCCCCCCCCC(=O)O,0.18451749734887088,CCCCCCCCCC(=O)[O-],0.10816542948037258,CCCCCCCCCCN,0.2863202545068686,CCCCCCCCCC[N+](C)(C)C.[Br-],0.0008483563096499725,CCCCCCCCCCOS(=O)(=O)[O-].[Na+],0.3096500530222431,CCCCCCCCCCO,0.07317073170731087,CCCCCCCCCC(=O)OCC(CO)O,0.03732767762459916,8
CCCCCCCCCC(=O)O,0.1543754410726752,CCCCCCCCCC(=O)[O-],0.05160550458715141,CCCCCCCCCCN,0.2006880733944777,CCCCCCCCCC[N+](C)(C)C.[Br-],0.33300988002819926,CCCCCCCCCCOS(=O)(=O)[O-].[Na+],0.22274170783343128,CCCCCCCCCCO,0.0031757233592093087,CCCCCCCCCC(=O)OCC(CO)O,0.034403669724767605,14
CCCCCCCCCC(=O)O,0.09565288179745232,CCCCCCCCCC(=O)[O-],0.23811462064472172,CCCCCCCCCCN,0.3073103223705383,CCCCCCCCCC[N+](C)(C)C.[Br-],0.19944643438617718,CCCCCCCCCCOS(=O)(=O)[O-].[Na+],0.1241452295669062,CCCCCCCCCCO,0.016606968414195976,CCCCCCCCCC(=O)OCC(CO)O,0.018723542819926827,22
CCCCCCCCCC(=O)O,0.18231665524330734,CCCCCCCCCC(=O)[O-],0.18231665524330734,CCCCCCCCCCN,0.2111034955448821,CCCCCCCCCC[N+](C)(C)C.[Br-],0.10966415352980896,CCCCCCCCCCOS(=O)(=O)[O-].[Na+],0.20424948594926914,CCCCCCCCCCO,0.07936943111719921,CCCCCCCCCC(=O)OCC(CO)O,0.03098012337217102,36
CCCCCCCCCC(=O)O,0.25813221406083875,CCCCCCCCCC(=O)[O-],0.1909758656872872,CCCCCCCCCCN,0.01762854144805728,CCCCCCCCCC[N+](C)(C)C.[Br-],0.388247639034595,CCCCCCCCCCOS(=O)(=O)[O-].[Na+],0.01888772298006136,CCCCCCCCCCO,0.11269674711436618,CCCCCCCCCC(=O)OCC(CO)O,0.013431269674710299,7
