0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,miscibility
-13.35944,-59.90039,81.47574,33.030952,-103.03005,60.49086,-11.316016,22.653715,49.680782,-93.35111,32.96849,134.02287,9.933767,-0.17380238,79.908905,92.89108,105.82179,-85.701164,46.0168,-6.5958433,84.23802,-63.213017,-71.38219,67.39594,-92.88492,-74.99937,-54.80916,95.58397,68.20818,-50.53751,112.39322,-24.120136,1
-4.765687,-22.436783,70.13936,27.683434,-69.78167,60.952816,-20.21282,26.537634,50.916225,-60.62332,26.394726,90.98913,-3.787398,12.376914,46.70295,56.227287,67.396904,-72.31135,34.892563,-18.231018,52.628185,-34.30009,-36.773407,49.08356,-69.531425,-42.279816,-44.376278,60.515656,32.72577,-43.900425,77.62078,-28.82091,1
1.193893,-17.868265,74.49457,20.125858,-91.814926,81.57917,-26.630123,36.86664,50.4022,-70.1867,41.870167,111.50279,-26.045921,24.75396,44.08953,56.45848,83.119354,-96.26793,27.88588,-47.05509,62.13089,-27.926544,-44.06634,47.261528,-91.01114,-40.66829,-40.998177,57.02758,41.992737,-46.377182,105.05958,-57.098244,1
-6.854811,-21.166082,67.813896,25.479284,-64.105965,56.514496,-21.415743,27.055822,45.413277,-55.351322,23.880583,84.53534,-0.8621454,12.858356,42.101795,56.012657,62.37391,-67.62222,34.56399,-14.3882265,48.94756,-34.250225,-34.87082,48.556232,-62.172024,-45.068623,-43.321827,58.334976,26.7891,-39.33958,69.47822,-23.054125,1
-6.4420767,-21.084003,66.663475,24.584583,-62.879505,55.401173,-21.010033,26.847715,44.25926,-54.583836,23.442833,82.542114,-0.2094326,12.881152,41.283302,54.89247,61.615807,-66.6379,34.41047,-13.349926,48.499477,-34.37873,-34.206722,47.713326,-60.74357,-44.749702,-42.551414,57.18219,26.5249,-38.707737,68.000435,-22.340069,1
-6.468939,-23.484245,68.6071,27.660688,-64.68043,57.32193,-19.828213,23.48779,50.419167,-59.209156,25.680668,87.288246,0.13644743,11.648655,41.310764,59.00422,65.20312,-68.25283,34.038593,-12.661484,48.908173,-34.96369,-38.530014,49.097073,-61.417423,-46.201427,-44.829365,63.603783,30.199776,-40.832783,71.7955,-20.620522,1
-8.598092,-17.490467,67.267525,28.908104,-70.905556,57.963463,-23.401297,25.634745,48.644424,-68.11124,31.077625,93.438065,-2.8901799,13.488932,51.100216,55.749165,74.918335,-76.01772,28.425962,-21.19033,53.549473,-36.55224,-44.119167,45.91972,-63.610126,-52.745667,-40.837173,69.7924,35.49772,-40.1043,77.05524,-28.972157,1
26.70531,-56.48374,141.68872,95.60677,-146.2619,134.89471,15.26503,30.823975,153.59096,-139.14148,59.002064,214.31926,2.9648767,31.55624,81.63192,147.54373,148.4006,-135.94159,50.52036,-28.026165,113.580246,-62.263683,-120.56828,108.91962,-157.82607,-111.45982,-108.21138,173.48166,106.05767,-123.97101,180.23672,-31.802923,1
-3.9254715,-30.33863,74.40162,32.878902,-80.32671,67.017075,2.525875,17.840649,78.39993,-87.01848,34.344543,122.75616,2.4402473,22.282738,55.393776,84.88757,97.96608,-90.420135,33.376663,-11.493092,58.148277,-32.1197,-64.70255,60.283424,-90.433395,-50.720196,-49.381496,91.73034,60.182228,-58.51343,102.98241,-31.369993,1
-5.0637207,-21.254328,67.45504,23.765642,-66.83788,59.631016,-21.39256,29.384687,45.320984,-57.099483,27.584269,89.01256,-4.40919,15.044362,44.13226,57.320156,65.791985,-73.0676,33.21686,-18.31467,51.666256,-32.193546,-36.47865,47.62475,-67.03228,-43.98329,-41.352592,56.573086,29.226927,-40.09714,75.01871,-27.91585,1
-12.222956,-19.908058,94.75506,38.144127,-100.2109,91.920105,-30.931976,29.104778,67.65756,-86.87331,42.839596,131.7742,-22.008493,25.345922,69.23787,69.01944,90.03943,-101.83655,38.0794,-44.813217,61.19174,-33.189857,-54.754223,54.57316,-98.433975,-42.763664,-51.9075,80.6258,41.354492,-51.194477,113.65715,-55.025505,1
-5.824018,-21.296602,65.329834,24.650864,-60.867176,53.637955,-19.92237,25.459871,44.205,-54.686462,22.736347,80.43911,1.9700427,12.324862,40.170376,54.369606,61.4691,-65.353455,34.33341,-10.993577,47.399014,-34.60965,-34.800472,46.68248,-58.564137,-44.557266,-42.4192,57.987267,26.997427,-38.254242,65.7779,-20.239193,1
2.3690367,-26.846992,125.82738,32.763954,-154.40062,133.00703,-54.596306,84.474144,75.50427,-128.69843,99.85953,187.80142,-66.23309,19.720778,84.96536,92.22669,148.10605,-185.32515,20.066238,-124.33719,129.5581,-48.780624,-68.700455,74.98622,-157.00256,-68.037186,-70.52995,85.43355,110.84059,-88.745316,209.864,-131.55777,0
-23.71061,-43.573452,86.97558,22.386879,-80.93264,80.54941,-32.204308,18.78476,87.09511,-98.164764,47.436226,139.21716,-7.359682,8.470652,63.18463,87.277466,105.89504,-95.97444,17.321405,-27.317455,71.44802,-31.637215,-65.388565,82.13795,-85.16383,-69.67041,-43.614418,100.63756,59.553307,-64.50564,118.8,-23.31562,1
-6.4599147,-22.287006,67.56666,25.20831,-65.04869,56.91565,-21.51387,26.612232,45.067295,-57.151432,25.78808,86.1349,0.26136136,13.163146,42.91968,55.949673,64.13274,-69.2684,34.76714,-14.511515,49.61494,-34.730247,-36.866993,47.658638,-62.56399,-43.429188,-41.71058,58.225548,28.255634,-39.18734,71.233986,-23.51177,1
-5.130428,-21.974987,65.9677,25.323277,-62.426937,55.073215,-19.681852,25.272493,45.87953,-56.022423,23.673738,82.69149,1.4429256,12.499476,41.247154,55.360455,63.423393,-66.88753,34.345215,-11.24798,48.20497,-35.112606,-36.32159,47.34365,-59.634113,-45.819805,-43.188774,59.871773,28.197647,-39.964355,67.63891,-20.768646,1
