0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,vesicles_formation
0.8954466,-1.2142773,1.4218777,1.3759847,-1.387315,1.2166594,0.09345447,0.42356992,1.2906013,-1.5054228,0.15919594,1.8116323,1.1255493,0.24080212,1.4896256,1.4048959,1.4384797,-1.4016796,1.187451,1.0464332,1.1171256,-1.1715138,-1.4444022,1.2781478,-1.0722116,-1.3108747,-1.2320548,1.5342712,1.2826738,-1.2011812,1.584963,0.019510703,1
0.5648223,-0.7381084,0.948103,0.9001996,-0.8728744,0.78068525,0.07517705,0.25040114,0.8626986,-0.952399,0.09856523,1.139379,0.707575,0.18498184,0.9157726,0.8737441,0.8994902,-0.8879246,0.77445376,0.66575116,0.68012935,-0.7267277,-0.9114763,0.80415726,-0.67656976,-0.78160936,-0.8148035,0.96976733,0.78516287,-0.7760049,1.0107149,0.0036260854,1
0.95240104,-1.3556931,1.5339766,1.4612594,-1.5002861,1.3075293,0.11736954,0.5006213,1.3489585,-1.6260743,0.16372441,1.9530345,1.2470604,0.24157421,1.62878,1.5272667,1.5717086,-1.5148803,1.3083941,1.1605308,1.2484632,-1.3074676,-1.5801007,1.3748071,-1.144585,-1.4407545,-1.3261408,1.6603018,1.403046,-1.2784947,1.7225456,0.032801528,1
0.88047945,-0.98980135,1.3775482,1.3067352,-1.2024026,1.1358895,0.09603496,0.2839112,1.3671182,-1.2903682,0.12723875,1.5730734,1.000431,0.327917,1.2082676,1.2493751,1.1789514,-1.2341772,1.1075423,0.96848696,0.8832479,-0.9548215,-1.2037276,1.176887,-0.94061446,-0.99799335,-1.2034934,1.3116543,1.0489686,-1.1436293,1.3980649,0.038170606,1
0.9885883,-1.1020112,1.3157415,1.2049934,-1.22798,1.1356167,0.093818195,0.37481394,1.2432286,-1.3511789,0.14535642,1.5753185,1.1358837,0.35442927,1.3180212,1.2472981,1.308363,-1.3130437,1.1483855,1.0897748,0.9783393,-1.0764375,-1.3002088,1.2054096,-0.9203883,-1.125707,-1.1537274,1.3309501,1.1519216,-1.1703699,1.4083822,0.03209891,1
1.097459,-1.4867612,1.6602312,1.5721735,-1.625173,1.429335,0.12629762,0.55622387,1.4930174,-1.7220775,0.16562529,2.0909798,1.3822378,0.28695813,1.740073,1.6732932,1.6687169,-1.6302538,1.4423057,1.2991163,1.3681993,-1.4265509,-1.6719698,1.5215766,-1.2227468,-1.5552859,-1.4551408,1.7624311,1.5125947,-1.4056652,1.853275,0.06345867,1
1.120555,-1.2767407,1.5612001,1.4223263,-1.455618,1.313183,0.13035494,0.46505222,1.4305885,-1.5746311,0.17246956,1.8451157,1.3028597,0.4278212,1.5250512,1.4354442,1.5379108,-1.5184294,1.3496152,1.2397343,1.1754936,-1.2795033,-1.5192562,1.392366,-1.0935776,-1.3114748,-1.3720008,1.5744364,1.3275439,-1.3766962,1.664468,0.019179683,1
1.1331365,-1.5716078,1.8916918,1.8037307,-1.7972999,1.5760691,0.15410936,0.57402277,1.6957508,-1.9067563,0.18574041,2.3260107,1.4511403,0.32083336,1.8819661,1.8227496,1.8201857,-1.779574,1.5794926,1.358215,1.4680493,-1.5290363,-1.8371463,1.6494256,-1.3779917,-1.6558218,-1.6438268,1.9709643,1.6221325,-1.5512366,2.064285,0.04154218,1
0.47107136,-0.515514,0.7595412,0.7630818,-0.6779528,0.64294446,0.025956199,0.10605501,0.78088635,-0.7686174,0.08878463,0.91738695,0.5183088,0.16069315,0.7069888,0.6927949,0.6819398,-0.71615046,0.57323533,0.49366647,0.44453177,-0.49068865,-0.70196617,0.65093154,-0.55157804,-0.575465,-0.6474522,0.7636067,0.604522,-0.6348109,0.7835301,-0.00920838,1
0.7423295,-1.0241336,1.2704582,1.2500168,-1.1936721,1.0718783,0.07839498,0.3223599,1.2092596,-1.2746085,0.12316546,1.5826432,0.93177307,0.18892723,1.2449582,1.2563493,1.1761665,-1.1827558,1.0232168,0.87485313,0.9303907,-0.9608787,-1.2016256,1.1190886,-0.9428315,-1.0779682,-1.1048303,1.3219664,1.0727924,-1.0357774,1.3782237,0.043623757,1
0.71329516,-0.7486887,0.9164837,0.8557368,-0.8599214,0.8067192,0.04589544,0.22220008,0.89332515,-0.9864137,0.11886665,1.1237226,0.79294246,0.26227048,0.9456827,0.86565334,0.94442606,-0.95258003,0.7821962,0.7578624,0.64543283,-0.7288505,-0.9371301,0.85023785,-0.6592347,-0.7906613,-0.79553884,0.95030063,0.8221192,-0.838578,0.9856794,0.0022375751,1
