smi1,conc1,smi2,conc2,smi3,conc3,smi4,conc4,smi5,conc5,smi6,conc6,smi7,conc7,vesicles_formation
CCCCCCCCCC(=O)O,1.025,CCCCCCCCCC(=O)[O-],2.5749999999999997,CCCCCCCCCCN,3.675,CCCCCCCCCC[N+](C)(C)C.[Br-],3.4000000000000004,CCCCCCCCCCOS(=O)(=O)[O-].[Na+],0.0479999999999999,CCCCCCCCCCO,1.35,CCCCCCCCCC(=O)OCC(CO)O,0.725,0
CCCCCCCCCC(=O)O,4.6,CCCCCCCCCC(=O)[O-],1.875,CCCCCCCCCCN,3.8499999999999983,CCCCCCCCCC[N+](C)(C)C.[Br-],0.6949999999999998,CCCCCCCCCCOS(=O)(=O)[O-].[Na+],2.925,CCCCCCCCCCO,0.0809999999999999,CCCCCCCCCC(=O)OCC(CO)O,0.1029999999999999,30
CCCCCCCCCC(=O)O,0.3699999999999999,CCCCCCCCCC(=O)[O-],0.1039999999999999,CCCCCCCCCCN,2.25,CCCCCCCCCC[N+](C)(C)C.[Br-],1.5000000000000004,CCCCCCCCCCOS(=O)(=O)[O-].[Na+],2.85,CCCCCCCCCCO,1.4475,CCCCCCCCCC(=O)OCC(CO)O,0.33,12
CCCCCCCCCC(=O)O,2.175,CCCCCCCCCC(=O)[O-],1.275,CCCCCCCCCCN,3.375,CCCCCCCCCC[N+](C)(C)C.[Br-],0.0099999999999999,CCCCCCCCCCOS(=O)(=O)[O-].[Na+],3.65,CCCCCCCCCCO,0.8625,CCCCCCCCCC(=O)OCC(CO)O,0.4399999999999999,8
CCCCCCCCCC(=O)O,1.7500000000000004,CCCCCCCCCC(=O)[O-],0.585,CCCCCCCCCCN,2.275,CCCCCCCCCC[N+](C)(C)C.[Br-],3.775,CCCCCCCCCCOS(=O)(=O)[O-].[Na+],2.525,CCCCCCCCCCO,0.0359999999999999,CCCCCCCCCC(=O)OCC(CO)O,0.39,14
CCCCCCCCCC(=O)O,1.175,CCCCCCCCCC(=O)[O-],2.925,CCCCCCCCCCN,3.775,CCCCCCCCCC[N+](C)(C)C.[Br-],2.45,CCCCCCCCCCOS(=O)(=O)[O-].[Na+],1.525,CCCCCCCCCCO,0.204,CCCCCCCCCC(=O)OCC(CO)O,0.2299999999999999,22
CCCCCCCCCC(=O)O,3.3249999999999997,CCCCCCCCCC(=O)[O-],3.3249999999999997,CCCCCCCCCCN,3.8499999999999983,CCCCCCCCCC[N+](C)(C)C.[Br-],2.0000000000000004,CCCCCCCCCCOS(=O)(=O)[O-].[Na+],3.725,CCCCCCCCCCO,1.4475,CCCCCCCCCC(=O)OCC(CO)O,0.565,36
CCCCCCCCCC(=O)O,3.075,CCCCCCCCCC(=O)[O-],2.275,CCCCCCCCCCN,0.21,CCCCCCCCCC[N+](C)(C)C.[Br-],4.625000000000002,CCCCCCCCCCOS(=O)(=O)[O-].[Na+],0.2249999999999999,CCCCCCCCCCO,1.3425,CCCCCCCCCC(=O)OCC(CO)O,0.1599999999999999,7
CCCCCCCCCC(=O)O,1.8000000000000005,CCCCCCCCCC(=O)[O-],4.75,CCCCCCCCCCN,1.6750000000000005,CCCCCCCCCC[N+](C)(C)C.[Br-],3.075,CCCCCCCCCCOS(=O)(=O)[O-].[Na+],4.225000000000001,CCCCCCCCCCO,0.8625,CCCCCCCCCC(=O)OCC(CO)O,0.74,26
CCCCCCCCCC(=O)O,2.2,CCCCCCCCCC(=O)[O-],4.2749999999999995,CCCCCCCCCCN,3.125000000000001,CCCCCCCCCC[N+](C)(C)C.[Br-],4.6499999999999995,CCCCCCCCCCOS(=O)(=O)[O-].[Na+],2.975,CCCCCCCCCCO,0.6674999999999999,CCCCCCCCCC(=O)OCC(CO)O,0.3999999999999999,26
