run,RMSE,R2
1,0.548460962160888,0.7891582325265709
2,0.5583002185003837,0.7508315170737797
3,0.5406205389734445,0.7564304553691001
4,0.6349833250525794,0.690605040621313
5,0.551485930582141,0.7791381881471102
6,0.5752887833118132,0.7482529516540399
7,0.5271405921768716,0.7731386102389692
8,0.5171639192161388,0.7646327550286496
9,0.5404498584867168,0.7696338595768216
10,0.5303485469539364,0.7546021139966727
